"","InvInef2021"
"Semi Deviation",0.0433
"Gain Deviation",0.0473
"Loss Deviation",0.0426
"Downside Deviation (MAR=0%)",0.0396
"Downside Deviation (Rf=0%)",0.0396
"Downside Deviation (0%)",0.0396
"Maximum Drawdown",0.6514
"Historical VaR (95%)",-0.0788
"Historical ES (95%)",-0.1294
"Modified VaR (95%)",-0.0862
"Modified ES (95%)",-0.1202
