"","InvInef2021"
"daily downside risk",0.0396
"Annualised downside risk",0.6289
"Downside potential",0.0185
"Omega",1.4119
"Sortino ratio",0.1922
"Upside potential",0.0261
"Upside potential ratio",0.7644
"Omega-sharpe ratio",0.4119
