"","From","Trough","To","Depth","Length","To Trough","Recovery","strategy"
"1",2021-05-08,2021-07-20,NA,-0.6514,239,74,NA,"InvInef2021"
"2",2021-04-17,2021-04-25,2021-05-01,-0.2433,15,9,6,"InvInef2021"
"3",2021-02-22,2021-02-23,2021-03-09,-0.1792,16,2,14,"InvInef2021"
"4",2021-01-10,2021-01-12,2021-01-28,-0.1664,19,3,16,"InvInef2021"
"5",2021-03-18,2021-03-25,2021-03-31,-0.1472,14,8,6,"InvInef2021"
