"","portfolio.returns"
"1",0.012325730083367
"2",0.10339469852288
"3",0.0996949129345572
"4",0.00984389256872098
"5",0.0660468699859824
"6",0.122035255688272
"7",-0.00409826743667652
"8",0.00640970320483447
"9",0.0516215274952867
"10",-0.0445832897853496
"11",-0.113884871226783
"12",-0.015345254853288
"13",0.0770487446902566
"14",0.028267339308653
"15",-0.031928059441279
"16",0.060398394679118
"17",0.0237104370558334
"18",0.00910623241352049
"19",0.00882328533154375
"20",0.00146563368283692
"21",-0.141322573009158
"22",0.0800862952819492
"23",-0.00536232375452528
"24",0.0382684398736186
"25",-0.0254918244191291
"26",0.00180505319917734
"27",-0.0718928788643212
"28",0.337739574215457
"29",0.141548221511729
"30",-0.101914266066632
"31",0.0639028200087639
"32",0.0153055123701871
"33",0.0163039705939489
"34",0.0850516471853631
"35",0.110497757005377
"36",0.0508895286038009
"37",0.107047006125229
"38",0.107955591748476
"39",0.0585856676821379
"40",0.0145858486435109
"41",0.120081896580028
"42",0.00369879196403566
"43",0.0214799145577367
"44",-0.00794010234145037
"45",-0.0415762031245495
"46",-0.0386245663179257
"47",-0.00349795137697895
"48",0.0374940112048734
"49",0.0899730191319923
"50",0.147965804803904
"51",-0.0265206221704534
"52",0.0375115785409221
"53",-0.0490109798871891
"54",-0.136850933402529
"55",0.108139455018096
"56",-0.0531858521333409
"57",0.0385879490956968
"58",0.0407768266927142
"59",-0.0460943401926097
"60",0.0733102676814603
"61",-0.0419790169988965
"62",0.00986059320773158
"63",-0.0428496287703383
"64",0.00734488419792467
"65",-9.33006042117546e-05
"66",0.0261637885988495
"67",0.0381969075672912
"68",0.061710384686926
"69",-0.0395380128046147
"70",0.00779756124827546
"71",-0.050798634366883
"72",0.0707766408852608
"73",-0.0384447735832453
"74",-0.0380790827499536
"75",0.0812287698528835
"76",0.0548070689311135
"77",-0.053166948171917
"78",0.0279669441753769
"79",-0.0156669177712925
"80",-0.0125809885487346
"81",-0.0453603638663644
"82",-0.00250898100988417
"83",-0.0484346339258388
"84",-0.005110474117483
"85",0.090995471172808
"86",0.00474615903529529
"87",0.000698870322964007
"88",0.0212622654551788
"89",0.0344764579296168
"90",0.0161830494418314
"91",0.0439961108398002
"92",0.00777365821652465
"93",-0.0262535327426248
"94",0.0633788585590656
"95",0.0558400439387052
"96",0.0518001594116035
"97",-0.0772604741825171
"98",0.0728553995824321
"99",0.0079489268802404
"100",0.057827427778905
"101",0.0637920290700655
"102",0.0565068928929566
"103",0.0758463697275169
"104",0.0540011165337568
"105",0.127043792783222
"106",0.282620052819686
"107",-0.119452416329313
"108",0.00744810456795642
"109",0.114568073711592
"110",-0.0676127454092703
"111",-0.0466301533241323
"112",-0.0969551415561022
"113",-0.0200752301899116
"114",0.00265995019107046
"115",-0.0296382008183415
"116",0.0966572470264897
"117",0.0331818691559134
"118",0.0759783649279366
"119",-0.0109154480291859
"120",0.0731206994758
"121",0.0732937156561806
"122",-0.023750775269919
"123",0.110298110758948
"124",0.0742888856323087
"125",0.167831870470097
"126",-0.0546827016964562
"127",0.0891628045060189
"128",-0.0358947249149242
"129",-0.0356673504026309
"130",-0.137969021694357
"131",0.0807248633052791
"132",-0.136110463804306
"133",0.11202024811024
"134",0.101369491048332
"135",-0.0587883687486673
"136",0.0173471846642554
"137",-0.0724994298995955
"138",-0.00294301203089598
"139",-0.287801748022379
"140",0.157160554296668
"141",-0.129535247712921
"142",-0.0395583611183558
"143",-0.104802112265813
"144",0.19570320913249
"145",-0.0253360040683642
"146",0.0685867940905762
"147",-0.0545283711615193
"148",-0.0792001455293684
"149",-0.0466243890252943
"150",0.0377612692228737
"151",0.0923537838280242
"152",0.0677646620072672
"153",0.0956430809160655
"154",-0.0130200219480053
"155",-0.0620618776179296
"156",-0.0186002938275782
"157",0.00688348409608142
"158",-0.0927378234631052
"159",-0.00536908643607348
"160",0.0476144977081663
"161",-0.0485288341870428
"162",-0.039924077851169
"163",-0.00137551004957659
"164",0.0481612126185695
"165",0.0112538950867109
"166",-0.0131676258356036
"167",-0.051474815777686
"168",0.00784072153313997
"169",-0.0481456118075716
"170",-0.0179970202007228
"171",0.00239835717899517
"172",-0.273072694536891
"173",0.00595862427690208
"174",0.166362271206227
"175",0.0886287019805128
"176",-0.0729239060772412
"177",-0.012727944709356
"178",0.0727203374285488
