"","portfolio.returns"
"1",-0.00115831868452032
"2",0.0347159551727558
"3",0.148236256368145
"4",0.0178390196559646
"5",0.0727285969568301
"6",0.081884456073845
"7",0.00537526860345827
"8",-0.00673261386885571
"9",0.0472917261835508
"10",-0.0301716318546043
"11",-0.118669387215038
"12",-0.0187437695863836
"13",0.0726769376263297
"14",0.0478063506196691
"15",-0.0286307531775305
"16",0.0671616416004945
"17",0.0306296251226161
"18",0.00400777336302993
"19",0.0229603755331651
"20",-0.000513288263771283
"21",-0.148867390666548
"22",0.0847777607086593
"23",-0.00396545025742412
"24",0.0712948672621276
"25",-0.030795190900205
"26",0.0111203837153371
"27",-0.0547983381141323
"28",0.0563565323971391
"29",0.0221531798894974
"30",0.0183819974002057
"31",-0.0279033355270295
"32",0.103369070142276
"33",0.0512523866700254
"34",0.0615472471122338
"35",0.00240896098125343
"36",0.159778845984309
"37",0.0415183726093835
"38",-0.0342811119928741
"39",0.111779760832139
"40",0.163430680729626
"41",0.142098055395352
"42",-0.0137972044166259
"43",0.0623418351717053
"44",-0.017690031384843
"45",0.00107745289504946
"46",-0.0321275615042727
"47",0.00583156251795369
"48",0.153007793543705
"49",0.125004425886222
"50",0.457679773765771
"51",-0.157939272969968
"52",0.0962188216607027
"53",-0.0785802042067909
"54",-0.142120478577074
"55",0.101026704593072
"56",-0.0684229327133584
"57",-0.0185630075797757
"58",0.0310827232128872
"59",-0.0611085046237577
"60",0.159390321371496
"61",-0.0562216852229779
"62",0.0107336851188393
"63",-0.0485540199623148
"64",-0.00409119593460405
"65",0.0088785016710442
"66",0.0467737235961585
"67",0.0116360635148431
"68",0.158605237072762
"69",-0.0502261877848775
"70",0.0262273852921275
"71",-0.0726529340148867
"72",0.0577575957527992
"73",-0.0379159652299909
"74",-0.0440666715283728
"75",0.0433079144071269
"76",0.0489663254365778
"77",-0.0416880698445601
"78",0.0137717192278524
"79",-0.00684941420739971
"80",-0.00567024217034595
"81",-0.0410344115827398
"82",-0.00327891551559623
"83",-0.0366358319716633
"84",-0.0338680001506609
"85",0.0869356792244091
"86",0.0355285306591826
"87",-0.00267220981141603
"88",0.0303745597621992
"89",0.0880606520360485
"90",-0.0103655947622993
"91",0.0797097261509541
"92",0.0170400575865437
"93",-0.0468458462222003
"94",0.069470769458583
"95",0.0428942135732493
"96",0.0782329788263951
"97",-0.0660825715048051
"98",0.0918642898664082
"99",0.0555572603460257
"100",0.0418857473223304
"101",0.0865335176709914
"102",0.11551620418821
"103",-0.044936416470114
"104",-0.0066515864560408
"105",0.00838761759563256
"106",-0.0531525368216887
"107",0.00123038012879073
"108",-0.0668027234551084
"109",0.0251393115044141
"110",0.132012005222579
"111",-0.0407875212096117
"112",-0.0539929628735977
"113",0.0175753271881431
"114",-0.0542293993288726
"115",0.0142129724992959
"116",0.0673433080896841
"117",0.0624026870288368
"118",-0.00145001017674329
"119",0.0496349884346374
"120",0.0356355160459143
"121",0.00144732731535413
"122",0.00310057979750145
"123",0.091217253555165
"124",-0.088099413808552
"125",0.0807654429240361
"126",-0.0104727817959501
"127",-0.0127958946494202
"128",0.0408350140150364
"129",0.0294789124448249
"130",-0.0350182530361934
"131",0.0591277792964466
"132",-0.099167686635426
"133",-0.0250368298010781
"134",0.0609644653083543
"135",-0.0568502001815856
"136",0.0042824077294481
"137",-0.0910566519376084
"138",-2.28078278812216e-05
"139",-0.29998285888506
"140",0.128723439533784
"141",-0.160603128389349
"142",-0.0593524466551245
"143",-0.117318839876148
"144",0.277015715668318
"145",0.00331568881931044
"146",0.102167978838924
"147",-0.0385539436919651
"148",-0.100018407569107
"149",-0.069880097156208
"150",0.0673862273461943
"151",0.0964443475440608
"152",0.00962812197436236
"153",0.0822082799050159
"154",0.0602034679979031
"155",-0.0784398930926765
"156",-0.0158623014333878
"157",0.0142847234441656
"158",-0.0812882767673978
"159",-0.00601849447754366
"160",0.0531804093334882
"161",-0.0596923856950822
"162",-0.0304057564995469
"163",0.00396317892657105
"164",0.0581468027565515
"165",0.0166842404926317
"166",-0.0062961428763959
"167",-0.0631661865951401
"168",0.0151381336805052
"169",-0.0478393192220689
"170",-0.0124282300572747
"171",0.020926718669027
"172",-0.184651378278717
"173",-0.0383725385605058
"174",0.110793799808512
"175",0.042839214825773
"176",-0.0765952961768173
"177",-0.0208177194092113
"178",0.0549815290633242
"179",0.0136060631400803
"180",0.034427431500994
"181",0.0171465742251098
"182",-0.0500584327987
"183",0.00703803487760313
"184",0.0311525544793578
"185",0.0353909886964179
"186",-0.0227940852630747
"187",0.0441235714694428
"188",0.0149946483674486
"189",-0.0551863713993304
"190",0.0183731137201466
"191",-0.0056830561135488
