"","portfolio.returns"
"1",0.035962385276358
"2",0.00342751238881056
"3",-0.027503830562921
"4",-0.0115237190101405
"5",-0.0648734847981167
"6",0.013947609500349
"7",-0.039468597267727
"8",-0.0170282837103515
"9",0.00329286592151323
"10",-0.0325532281917258
"11",0.0428532037545231
"12",0.0776143451718483
"13",-0.04041374501354
"14",0.0449954221754825
"15",0.0143723075051967
"16",0.0218700853430716
"17",0.0572015548178972
"18",-0.0619967390694619
"19",-0.0495726285550078
"20",-0.0490455949160991
"21",-0.120017297330611
"22",-0.0465703286995472
"23",0.039318388050686
"24",-0.0280867323089438
"25",-0.0135877956096799
"26",0.00584837676701433
"27",-0.0124234471581928
"28",0.0131750037773644
"29",0.0110583592169888
"30",-0.0210484373500954
"31",0.0133318459120202
"32",0.0400744497115204
"33",-0.0556985708416994
"34",0.0177746039149274
"35",0.0883540868711337
"36",0.004691258970835
"37",0.0313153066147609
"38",0.0879697010398566
"39",-0.00642271723380261
"40",0.0273216487807975
"41",-0.039050704429849
"42",-0.0700940473501679
"43",0.00992622950852962
"44",-0.00694649780626033
"45",-0.00648815126049007
"46",0.0553634367624589
"47",-0.0218932862945086
"48",-0.0817641473397065
"49",-0.00676997832934145
"50",0.0129115433366191
"51",-0.0523459676474267
"52",-0.0749897552240106
"53",0.0356732111976212
"54",-0.0211515452540324
"55",-0.0153436703305307
"56",0.0611581001859707
"57",-0.0145007078498671
"58",-0.0404828475167447
"59",0.101656990282289
"60",-0.00116686977062763
"61",-0.0226362854732945
"62",-0.0105731570413199
"63",-0.0766563842534292
"64",0.0394069007894919
"65",-0.0397520201127431
"66",-0.0235738876345597
"67",0.00925003538123148
"68",0.0616115773497186
"69",-0.0413295893326279
"70",0.0230883617523814
"71",-0.000212425744593459
"72",-0.0249982787104331
"73",0.0261623825568913
"74",0.00285451233390344
"75",0.0416342361463149
"76",-0.00528004593192832
"77",0.0154585002054626
"78",0.0373385958649197
"79",-0.0155688183122618
"80",0.0259959928885196
"81",0.0474753847975167
"82",0.0361036339324552
"83",0.0266804722649221
"84",-0.0239711169399414
"85",0.01937480582197
"86",0.0310474617504115
"87",-0.00542315586771625
"88",0.0125317572762338
"89",0.00437711563582832
"90",-0.0502114774135707
"91",0.0138897249125565
"92",-0.00230943732442779
"93",0.0276070086170415
"94",-0.0110640443047281
"95",-0.0173006532713421
"96",-0.0896520586102876
"97",0.0266030197245994
"98",-0.0420380396195373
"99",0.0170264979273649
"100",-0.0129979735294199
"101",-0.0872057499940467
"102",0.0293056786645989
"103",0.0342500439879203
"104",-0.0261405104483458
"105",0.0401899533676142
"106",0.0126080357454985
"107",-0.0441070873149508
"108",0.0222267372889342
"109",0.0178685486575567
"110",-0.0190459573369095
"111",-0.036029418519343
"112",-0.0109577067158423
"113",-0.0103617814789096
"114",-0.00726043295599266
"115",0.00674499322497946
"116",-0.0697404714343448
"117",0.0184095257862813
"118",0.0106892361519166
"119",-0.035541230797875
"120",-0.0475045445244442
"121",0.0382259140741792
"122",0.00474976107872549
"123",-0.0132255443291787
"124",0.0946351303081368
"125",-0.0924786517173909
"126",-0.00290690744640576
"127",-0.0262514435001494
"128",-0.0175618543502731
"129",-0.163547830902443
"130",0.0312035004199374
"131",-0.178357016092094
"132",-0.0518162926322087
"133",0.0768569075092169
"134",0.0202926019382972
"135",0.0556523687943262
"136",-0.0611185106909983
"137",0.0616359988214525
"138",-0.0986905696239698
"139",0.0705893910403443
"140",-0.0392305313930152
"141",0.0156657984583202
"142",0.0263325306553348
"143",-0.0419147004600477
"144",0.0144815667444291
"145",-0.0210190309779161
"146",-0.0569426544814265
"147",-0.0402433397689191
"148",0.023133408613851
"149",0.0160444408948197
"150",0.109303331639141
"151",0.0290695991199503
"152",-0.0887679448898959
"153",0.0311042968193878
"154",-0.0338133721706761
"155",0.01307397726295
"156",-0.00242633284656435
"157",0.0351754103206867
"158",0.00379393127238825
"159",-0.00729167429197242
"160",-0.0169639784147334
"161",-0.0670684339712442
"162",-0.0614399443185139
"163",-0.0759962572226864
"164",-0.0942561885568783
"165",0.0552725622738912
"166",0.0906689207671223
"167",-0.108363048988596
"168",0.0464197348157225
"169",-0.0324636817288904
"170",0.0994179314224835
"171",-0.00727907233623049
"172",-9.29340694000302e-06
"173",-0.0304775374235566
"174",0.0567054773655122
"175",0.0356247957765576
"176",0.0206710108586894
"177",-0.0226349032409352
"178",-0.0158229096597288
"179",-0.0482042069794952
"180",9.21578804042866e-05
"181",-0.0112359990338268
"182",-0.0268711587392223
"183",-0.00283746262614559
"184",0.00753933909389048
"185",0.0252681344022132
"186",-0.0337805529578943
"187",0.013477057250876
"188",0.0344378524144209
"189",-0.00898825269667802
"190",0.0289615542481496
"191",-0.0388813957674544
"192",-0.0582062093443725
"193",-0.0247167506666566
"194",0.0409804160291913
"195",0.0245611926777352
"196",0.00532494760472169
"197",0.0535141875267053
