"","MVP_Effic_2021","MVP_Ineffic_2021","maxRet_Effic_2021","maxRet_Ineffic_2021","maxSR_Effic_2021","maxSR_Ineffic_2021","minCVaR_Effic_2021","minCVaR_Ineffic_2021","EW_Effic_2021","EW_Ineffic_2021"
"Annualized Return",3.6463,3.5387,3.6463,3.5387,3.8579,0.3809,4.5262,-0.55,2.7422,4.2695
"Annualized Std Dev",1.0002,1.678,1.0002,1.678,1.0393,0.6672,1.1223,0.5564,0.9051,1.7017
"Annualized Sharpe (Rf=65.55%)",0.699,0.3396,0.699,0.3396,0.7541,-0.69,1.0072,-1.3878,0.3897,0.4559
"Omega (L = 0%)",1.45345145482877,1.4548231369149,1.45345145482877,1.4548231369149,1.46220012900641,1.14955564787202,1.49774722541356,0.811974001098377,1.39836120910585,1.48556499345224
"Calmar Ratio",6.27612716598514,4.78961955507814,6.27612716598514,4.78961955507814,6.53957591592033,0.72070430100466,7.62630911393994,-0.89829763885605,4.95319341432961,5.7866885054693
"Modigliani-SP500 (Rf=0.0026)",0.00319192007674912,0.00314208505969354,0.00319192007674912,0.00314208505969354,0.0032107110854494,0.00237864962741059,0.00328272756351759,0.000525256334182779,0.00307825265402694,0.00317851898701191
"Modigliani-Nasdaq100 (Rf=0.0026)",0.00343787606528367,0.00336729854632135,0.00343787606528367,0.00336729854632135,0.00346448833214386,0.00228610339716836,0.00356647975598119,-0.000237000799670641,0.00327689759760051,0.00341889712796358
"Modigliani-Russel1000 (Rf=0.0026)",0.0032046069596306,0.00315370200443719,0.0032046069596306,0.00315370200443719,0.00322380140386766,0.00237387591488096,0.00329736404728282,0.000466986336540728,0.00308849914222644,0.00319091815378842
"Modigliani-IBrX50 (Rf=0.0026)",0.00356619798067384,0.00348479853543717,0.00356619798067384,0.00348479853543717,0.00359689081021444,0.00223781951679781,0.00371452097689244,0.000841168882456888,0.00338053605663462,0.00354430892886598
"Modigliani-Ibovespa (Rf=0.0026)",0.00354465930400589,0.00346507630586822,0.00354465930400589,0.00346507630586822,0.0035746672160877,0.00224592390710724,0.00368967243889298,0.000933194851299746,0.00336314046794883,0.00352325871135817
