Date,BNB,ADA,ETH,LTC,TRX,BTC,XRP,DOGE
2018-03-23,11.707239428229286,0.18928756545591438,538.10902916315399,167.66014307105536,0.041254396481987671,8824.5928317785292,0.63791900000000001,0.0035359785416570135
2018-03-24,13.235912458917268,0.18911688818908837,519.48559983980306,158.20386293085198,0.050211067977548873,8621.1507922578494,0.64258999999999999,0.003481072481371006
2018-03-25,12.747660420336196,0.18485616933790586,519.37804459153892,158.85848810584235,0.045496898930306708,8478.6381955890502,0.64211099999999999,0.0034611663436198902
2018-03-26,12.099021861973561,0.1678051228600666,487.53961205539918,148.22522273576641,0.044719226467901878,8186.1960628135503,0.60061500000000001,0.0032686598565376318
2018-03-27,11.48278508504472,0.15567516111215665,449.05225249207564,135.5940434420333,0.043488313552935934,7836.7630442528898,0.579457,0.003121177808034305
2018-03-28,11.615320787017932,0.15990271243968826,443.9491009578748,130.52412298482258,0.048569213650968626,7930.7795409275504,0.57833900000000005,0.0031261394271622821
2018-03-29,10.210282293727676,0.14625632486959209,385.32709566886405,114.31687989753605,0.043170886304085852,7126.89519256736,0.51294600000000001,0.0028068561132060547
2018-03-30,10.461188567278032,0.14672090061322438,395.32626329061816,118.72994444125808,0.041609217459824911,6897.2685778694504,0.50961599999999996,0.002746612705979611
2018-03-31,11.115510878254739,0.15553196120838061,395.79638095782116,116.19558050155825,0.0341375904343795,6975.2753140207597,0.51198999999999995,0.002798551135706926
2018-04-01,11.136879243545204,0.15164476636576679,379.12351341100759,114.69064968906312,0.032311012341518848,6836.5723272967798,0.48563400000000001,0.0026995643618013877
2018-04-02,12.680933121363953,0.15650316859491217,384.8259822881638,118.65054154568571,0.035743378969233922,7080.4172323129897,0.49977199999999999,0.0027999548761896468
2018-04-03,13.21698359959313,0.17286210266382487,415.71623397033841,134.01391215258241,0.034941767261512879,7464.3560940666803,0.56028100000000003,0.0030125288057044697
2018-04-04,12.262637544095591,0.15569240193401918,380.28195959120734,118.25479065751306,0.03027961820097709,6845.3159782685798,0.50268699999999999,0.0027095273644515256
2018-04-05,12.537621143759361,0.15018647011781366,384.46448544618835,119.20122281326042,0.03992405477536945,6855.42230460675,0.49835808611718102,0.0027794883813383815
2018-04-06,12.304351591161451,0.14438698334755781,369.91389766931991,112.21567138881804,0.036957837332943444,6628.7544558562604,0.47523507368669299,0.002689527582146984
2018-04-07,12.400381856740026,0.14813151681847894,383.44636088273523,114.82767437658227,0.037041361105735533,6884.4772350599496,0.48796101525009716,0.0028072905556676808
2018-04-08,12.060487434470405,0.15621991533611421,396.98175550697044,115.99690229556447,0.037518108432848273,6984.8089659737998,0.4991247346125835,0.002829785961889333
2018-04-09,11.887882933647377,0.15321778139594849,398.77335502107474,114.3129561087657,0.035879916689158166,6778.4915700774,0.49243672165957736,0.0027486013736998313
