"","MVP_Effic_2021","MVP_Ineffic_2021","maxRet_Effic_2021","maxRet_Ineffic_2021","maxSR_Effic_2021","maxSR_Ineffic_2021","minCVaR_Effic_2021","minCVaR_Ineffic_2021","EW_Effic_2021","EW_Ineffic_2021"
"Annualized Return",3.6463,3.5389,5.0885,0.3809,3.8579,0.3809,4.5262,4.6169,2.7422,4.2695
"Annualized Std Dev",1.0002,1.678,1.2405,0.6672,1.0393,0.6672,1.1223,1.9662,0.9051,1.7017
"Annualized Sharpe (Rf=65.55%)",0.699,0.3396,1.1628,-0.69,0.7541,-0.69,1.0072,0.4294,0.3897,0.4559
