"","From","Trough","To","Depth","Length","To Trough","Recovery","strategy"
"1",2022-01-02,2022-09-21,NA,-0.6058,272,263,NA,"MVP_Effic_2022"
"2",2022-01-18,2022-06-13,NA,-0.6952,256,147,NA,"MVP_Ineffic_2022"
"3",2022-01-03,2022-01-10,2022-01-17,-0.1647,15,8,7,"MVP_Ineffic_2022"
"4",2022-01-03,2022-06-18,NA,-0.6287,271,167,NA,"maxRet_Effic_2022"
"5",2022-01-16,2022-06-18,NA,-0.7129,258,154,NA,"maxRet_Ineffic_2022"
"6",2022-01-03,2022-01-10,2022-01-14,-0.1791,12,8,4,"maxRet_Ineffic_2022"
"7",2022-01-03,2022-06-18,NA,-0.6982,271,167,NA,"maxSR_Effic_2022"
"8",2022-01-18,2022-07-12,NA,-0.7223,256,176,NA,"maxSR_Ineffic_2022"
"9",2022-01-03,2022-01-10,2022-01-16,-0.1801,14,8,6,"maxSR_Ineffic_2022"
"10",2022-01-02,2022-09-21,NA,-0.6123,272,263,NA,"minCVaR_Effic_2022"
"11",2022-01-18,2022-07-12,NA,-0.7155,256,176,NA,"minCVaR_Ineffic_2022"
"12",2022-01-03,2022-01-10,2022-01-16,-0.1786,14,8,6,"minCVaR_Ineffic_2022"
"13",2022-01-03,2022-06-18,NA,-0.5464,271,167,NA,"EW_Effic_2022"
"14",2022-01-18,2022-06-13,NA,-0.6791,256,147,NA,"EW_Ineffic_2022"
"15",2022-01-03,2022-01-10,2022-01-17,-0.1652,15,8,7,"EW_Ineffic_2022"
