"","MVP_Effic_2022","MVP_Ineffic_2022","maxRet_Effic_2022","maxRet_Ineffic_2022","maxSR_Effic_2022","maxSR_Ineffic_2022","minCVaR_Effic_2022","minCVaR_Ineffic_2022","EW_Effic_2022","EW_Ineffic_2022"
"Annualized Return",-0.5435,-0.5792,-0.421,-0.6157,-0.5375,-0.6338,-0.55,-0.6245,-0.438,-0.5616
"Annualized Std Dev",0.5516,0.6882,0.6019,0.7735,0.6526,0.7538,0.5564,0.7384,0.5434,0.6709
"Annualized Sharpe (Rf=117.72%)",-1.7001,-1.3736,-1.5339,-1.2269,-1.4385,-1.2636,-1.687,-1.2882,-1.7017,-1.4051
