"","MVP_Effic_2022","MVP_Ineffic_2022","maxRet_Effic_2022","maxRet_Ineffic_2022","maxSR_Effic_2022","maxSR_Ineffic_2022","minCVaR_Effic_2022","minCVaR_Ineffic_2022","EW_Effic_2022","EW_Ineffic_2022"
"daily downside risk",0.0264,0.0336,0.029,0.0365,0.0312,0.0361,0.0265,0.0265,0.0266,0.0331
"Annualised downside risk",0.4183,0.5332,0.46,0.58,0.4955,0.5723,0.4211,0.4211,0.4221,0.525
"Downside potential",0.0134,0.0177,0.0146,0.0185,0.0164,0.0192,0.0135,0.0135,0.0133,0.017
"Omega",0.8135,0.8601,0.9014,0.8601,0.8656,0.8524,0.812,0.812,0.8731,0.8614
"Sortino ratio",-0.0949,-0.0737,-0.0495,-0.0708,-0.0705,-0.0787,-0.096,-0.096,-0.0635,-0.0713
"Upside potential",0.0109,0.0152,0.0131,0.0159,0.0142,0.0164,0.011,0.011,0.0116,0.0146
"Upside potential ratio",0.6184,0.6335,0.6197,0.6292,0.6565,0.6872,0.6128,0.6128,0.6249,0.5994
"Omega-sharpe ratio",-0.1865,-0.1399,-0.0986,-0.1399,-0.1344,-0.1476,-0.188,-0.188,-0.1269,-0.1386
