"","MVP_Effic_2022","MVP_Ineffic_2022","maxRet_Effic_2022","maxRet_Ineffic_2022","maxSR_Effic_2022","maxSR_Ineffic_2022","minCVaR_Effic_2022","minCVaR_Ineffic_2022","EW_Effic_2022","EW_Ineffic_2022"
"Modigliani-SP500 (Rf=0.0026)",0.000527228100486575,0.000947719084439056,0.00112137450083644,0.00109578973108774,0.00095723967163914,0.000976643060229983,0.000525256334182779,0.000525256334182779,0.000851279883984323,0.000946873120716847
"Modigliani-Nasdaq100 (Rf=0.0026)",-0.000234304957917239,0.000340599456102697,0.000578024916375128,0.000543044863005246,0.000353616209884055,0.000380144944562182,-0.000237000799670641,-0.000237000799670641,0.000208745684816498,0.000339442836111879
"Modigliani-Russel1000 (Rf=0.0026)",0.00046901345408083,0.000901308420975977,0.00107983867572016,0.00105353569274637,0.00091109626919521,0.00093104434786669,0.000466986336540728,0.000466986336540728,0.000802161988450602,0.00090043870944055
"Modigliani-IBrX50 (Rf=0.0026)",0.000842840560364959,0.00119933589506224,0.00134656222845154,0.00132487127334714,0.00120740751859268,0.00122385785349626,0.000841168882456888,0.000841168882456888,0.00111757403486518,0.00119861868082508
"Modigliani-Ibovespa (Rf=0.0026)",0.000934779112846847,0.00127263238455356,0.00141215987222516,0.00139160319325856,0.00128028192201542,0.00129587202636437,0.000933194851299746,0.000933194851299746,0.00119514606347208,0.00127195267530366
