"","MVP_Effic_2021","MVP_Ineffic_2021","maxRet_Effic_2021","maxRet_Ineffic_2021","maxSR_Effic_2021","maxSR_Ineffic_2021","minCVaR_Effic_2021","minCVaR_Ineffic_2021","EW_Effic_2021","EW_Ineffic_2021"
"Modigliani-SP500 (Rf=0.0026)",0.00319191594169764,0.00314209650200834,0.0033206809335164,0.00237864879800265,0.0032107110854494,0.00237864962741059,0.00328272756351759,0.00318365052198742,0.00307825265402694,0.00317851898701191
"Modigliani-Nasdaq100 (Rf=0.0026)",0.00343787020912686,0.00336731475119572,0.00362023020795328,0.0022861022225414,0.00346448833214386,0.00228610339716836,0.00356647975598119,0.00342616452804565,0.00327689759760051,0.00341889712796358
"Modigliani-Russel1000 (Rf=0.0026)",0.00320460273580119,0.00315371369241397,0.00333613226114885,0.00237387506766596,0.00322380140386766,0.00237387591488096,0.00329736404728282,0.00319615986079356,0.00308849914222644,0.00319091815378842
"Modigliani-IBrX50 (Rf=0.0026)",0.00356619122656966,0.00348481722506813,0.00377651319532229,0.00223781816206072,0.00359689081021444,0.00223781951679781,0.00371452097689244,0.00355269066774956,0.00338053605663462,0.00354430892886598
"Modigliani-Ibovespa (Rf=0.0026)",0.00354465270062108,0.00346509457843581,0.00375028128689568,0.00224592258260141,0.0035746672160877,0.00224592390710724,0.00368967243889298,0.00353145340983582,0.00336314046794883,0.00352325871135817
