,date,BNB,ADA,ETH,LTC,TRX,BTC,XRP,DOGE
0,2017-12-31,8.82809865123005,0.74714042363643,776.080330355968,230.46212028623,0.0516540472349516,14093.6068305274,2.31012,0.00909118972054732
1,2018-01-01,9.09039322406542,0.807430250865508,876.890258814416,255.048185035276,0.0808930764019199,15321.9328517642,2.45529,0.00933544582449771
2,2018-01-02,9.886323100553348,1.0754011011838815,963.0557506903511,248.04219364630376,0.09810683152172969,15583.8855377593,3.12571,0.009591984295530395
3,2018-01-03,9.675757666836406,1.1793470150411156,978.416104183522,244.83437239359276,0.21813896209702388,15976.365194174,3.22005,0.010098320449883494
4,2018-01-04,16.488523208942993,1.0778211835149423,1004.8949722625625,254.1385250810076,0.23167275596197776,18336.9229801691,2.93138,0.013841230630273734
5,2018-01-05,24.369904809962087,1.093780172480279,1052.02336010703,289.9300333581779,0.17928748936361966,18343.6624934071,3.09163,0.015865492218716883
6,2018-01-06,19.342609184160256,1.0528536805180457,1137.6549188901813,278.97598168335605,0.19978596066784834,17039.8739138488,3.39845,0.01758609267957335
7,2018-01-07,19.213160457388458,0.9418999315467624,1184.92393027798,263.7463834051953,0.15690548165161397,15900.3650216006,2.4485,0.015664930020196744
8,2018-01-08,18.978822159045176,0.8662015396561794,1361.4396682787146,258.71996457839646,0.13269400951985694,15604.7234082405,2.14126,0.014236014523322628
9,2018-01-09,18.074112986027988,0.8164417056119962,1345.5876017375906,253.7921714393668,0.13426456800506337,15509.2701268168,1.95614,0.013397872468724748
10,2018-01-10,22.11006761076647,0.7274617292991923,1181.6514100305303,233.34334721111807,0.11417243181734481,14050.5696063543,1.93361,0.01178359332667976
11,2018-01-11,23.914921777474607,0.9623286418063227,1315.6187580839762,246.19188649019114,0.11596416170985852,14759.294629915,2.02577,0.013406427001536618
12,2018-01-12,23.564984313112777,0.9379071855617376,1448.1800861342022,268.36811528589226,0.10914446791001396,15193.3148979847,2.0225,0.012985428673917112
13,2018-01-13,21.993910234458383,0.8418895265838228,1410.0002145085193,247.8011550075546,0.08925850998755465,14476.5889713691,1.86561,0.012060585801368595
14,2018-01-14,20.776410632506227,0.8224040744826202,1329.6713965043375,241.1518060528049,0.08046854144691835,14411.9977069182,1.66706,0.010383539628810808
15,2018-01-15,14.271789985128768,0.6382177391603058,1068.6004106894156,189.47312838641994,0.05513937251422896,11723.9135206658,1.19515,0.006955228955907206
16,2018-01-16,14.588799163558992,0.6495671614349702,1022.3652131699663,188.9409013269934,0.07734211153937443,11415.3928442768,1.29116,0.00776645818123865
17,2018-01-17,14.77328995370286,0.671356127214076,1036.072312788025,194.75533862933017,0.08476283421245935,11569.4249920858,1.61161,0.008052592195204092
18,2018-01-18,15.378966128349079,0.6657514508348865,1046.8985973958734,194.58350142038915,0.08247751635257258,11758.4693327652,1.54157,0.007995193410812805
19,2018-01-19,16.82245256941068,0.7340009347332741,1172.9172062239459,214.4069154795011,0.08857148007391785,13260.2711872786,1.58205,0.008696029393049537
20,2018-01-20,14.401645763988126,0.6290330817666664,1053.6332024800395,191.5864761882356,0.07290660327891434,11703.5048628599,1.38127,0.0071966381682714645
21,2018-01-21,13.183408210852003,0.5813511689714357,1000.3871327788332,179.92105838110913,0.07360993173777669,10991.5950130802,1.30411,0.006751655790840913
22,2018-01-22,13.16548379005424,0.5648508617693447,991.665320638703,178.04211170597296,0.06900129660971706,10894.0009053405,1.34234,0.006644834704077421
23,2018-01-23,13.555624316282572,0.6248776332409309,1056.8792325682198,178.96961254775655,0.07032851946532716,11277.1159704489,1.33309,0.0070292553235282405
24,2018-01-24,13.241262926733073,0.63963832722956,1059.3154960264808,179.06314382212614,0.06915843703255992,11225.2544568853,1.30965,0.007561282941470744
25,2018-01-25,13.07623699156532,0.6206010251818365,1048.7989058434846,175.06149796221538,0.06593614894141041,11044.9072365744,1.21336,0.007133016564644556
26,2018-01-26,13.338049921339444,0.625463721730052,1095.7825142892807,179.6483041294699,0.06879186689692778,11456.2135062799,1.23119,0.007365827882483259
27,2018-01-27,13.509325087662313,0.6305763664855509,1237.3241758467964,191.9302770791985,0.06509433533973356,11665.6969300847,1.41666,0.007463308935343168
28,2018-01-28,12.714301970207767,0.5924707176465416,1169.6342569193446,179.2810953229547,0.0633302896350999,11157.6638878978,1.31967,0.0069041847391909505
29,2018-01-29,12.730467919083532,0.5879492074894594,1161.9086430994253,177.68852897104085,0.06315782032968759,11095.2106891266,1.31231,0.006858288626505667
30,2018-01-30,11.19699597843848,0.5017165694625461,1058.0960529662955,163.53293484489572,0.05345448856691226,9989.68977659669,1.13747,0.005947026607697804
31,2018-01-31,11.060884298912091,0.4994619104070018,1106.1381723552724,161.40740610710998,0.05418254771297397,10114.495086226,1.14397,0.005895167732777463
32,2018-02-01,9.325947142633932,0.41192005156171696,1021.2693786534147,141.66168195711376,0.04581397771102926,9070.55544937356,0.958196,0.004984351225121056
33,2018-02-02,9.740629328382928,0.39990284748947247,914.6388425021536,131.38437864518806,0.042133592261805096,8830.16351005472,0.896766,0.004424519457976242
34,2018-02-03,9.507364513289662,0.448042724772298,941.8032295185238,154.25836575875746,0.044714950178816736,8994.91486607664,0.919951,0.005070709589210817
35,2018-02-04,8.51527803867523,0.39506509860605493,834.8891703333355,150.93136565392322,0.0389172266181113,8315.51749143615,0.840231,0.004399674534546153
36,2018-02-05,6.713520258099269,0.3100116180114175,684.3133397266745,122.64490593121053,0.02969723027281321,6852.05270051491,0.692773,0.00346115522048281
